Abomasite
Absolite
Aerodactylite
Aggronite
Aguav Berry
Air Balloon
Alakazite
Aloraichium Z
Altarianite
Ampharosite
Assault Vest
Audinite
Banettite
Beedrillite
Black Sludge
Blastoisinite
Blazikenite
Blue Orb
Bug Memory
Buginium Z
Cameruptite
Charizardite X
Charizardite Y
Chesto Berry
Choice Band
Choice Scarf
Choice Specs
Custap Berry
Damp Rock
Dark Memory
Darkinium Z
Decidium Z
Diancite
Douse Drive
Draco Plate
Dragon Memory
Dragonium Z
Dread Plate
Earth Plate
Electric Memory
Electrium Z
Eviolite
Expert Belt
Fairy Memory
Fighting Memory
Fightinium Z
Figy Berry
Fire Memory
Firium Z
Fist Plate
Flame Orb
Flame Plate
Flying Memory
Flyinium Z
Focus Sash
Galladite
Garchompite
Gardevoirite
Gengarite
Ghost Memory
Ghostium Z
Glalitite
Grassium Z
Griseous Orb
Ground Memory
Groundium Z
Gyaradosite
Heat Rock
Heracronite
Houndoominite
Iapapa Berry
Ice Memory
Icicle Plate
Icium Z
Insect Plate
Iron Plate
Kangaskhanite
Kommonium Z
Latiasite
Latiosite
Leftovers
Life Orb
Light Ball
Light Clay
Lopunnite
Lucarionite
Lum Berry
Lunalium Z
Lustrous Orb
Lycanium Z
Mago Berry
Manectite
Marshadium Z
Mawilite
Meadow Plate
Medichamite
Mental Herb
Metagrossite
Metronome
Mewtwonite X
Mewtwonite Y
Mimikium Z
Mind Plate
Normalium Z
Pidgeotite
Pinsirite
Pixie Plate
Poison Memory
Poisonium Z
Power Herb
Psychic Memory
Psychium Z
Red Orb
Rock Memory
Rockium Z
Rocky Helmet
Sablenite
Salamencite
Sceptilite
Scizorite
Scope Lens
Sharpedonite
Sitrus Berry
Sky Plate
Slowbronite
Solganium Z
Splash Plate
Spooky Plate
Steel Memory
Steelium Z
Steelixite
Stick
Stone Plate
Swampertite
Thick Club
Toxic Orb
Toxic Plate
Tyranitarite
Ultranecrozium Z
Venusaurite
Water Memory
Waterium Z
Weakness Policy
White Herb
Wiki Berry
Zap Plate
