Togedemaru,252.0,242.3,158.0,118.0,175.0,214.0
Absol,230.7,249.8,139.5,162.9,139.5,198.7
Oricorio,275.0,143.1,173.0,223.0,173.0,214.0
Heatran,277.0,149.0,216.0,254.0,216.0,169.0
Swellow,238.0,191.0,149.0,174.0,132.0,258.0
Bibarel,282.0,228.9,156.0,147.0,156.0,175.0
Camerupt,291.7,198.5,155.4,210.3,163.0,108.1
Staraptor,274.0,302.3,162.0,129.0,146.0,263.7
Typhlosion,274.0,149.0,183.0,264.5,195.0,299.8
Volcanion,265.0,207.0,244.0,288.9,255.8,180.2
Emolga,239.0,182.0,156.0,182.0,156.0,232.0
Xurkitree,270.0,150.0,148.5,374.2,164.0,206.8
Zekrom,277.0,272.0,226.0,226.0,196.0,181.0
Tsareena,258.0,250.0,213.0,132.0,264.8,187.9
Pidgeot,255.1,166.0,160.6,152.9,152.9,201.2
Diggersby,274.0,362.5,173.0,129.0,173.0,175.0
Volbeat,258.0,179.0,182.0,133.0,200.0,200.0
Ampharos,281.0,127.6,185.7,235.2,194.3,137.1
Gliscor,251.0,198.0,246.0,118.0,166.0,198.0
Arceus,307.0,207.3,226.0,226.0,226.0,226.0
Crawdaunt,237.0,244.0,187.0,195.0,137.0,137.0
Dragonite,283.0,332.0,203.0,211.0,211.0,178.0
Gogoat,360.0,226.0,159.0,221.0,193.0,170.0
Kyurem,365.4,281.1,188.6,265.8,212.0,218.6
Pikachu,209.0,332.3,136.2,282.0,141.0,213.0
Azumarill,323.3,323.0,174.0,142.0,174.0,126.0
Raticate,260.5,223.8,167.0,128.4,184.9,202.8
Doublade,231.0,228.0,439.0,121.0,192.0,105.0
Vespiquen,265.0,172.2,230.0,191.0,230.0,121.0
Rayquaza,285.0,313.6,181.0,272.0,215.2,188.0
Suicune,330.2,128.0,236.0,216.7,236.0,187.0
Donphan,288.0,250.0,250.0,149.0,184.1,132.0
Quagsire,290.0,187.0,187.0,154.0,154.0,105.0
Bouffalant,310.0,277.8,217.0,121.0,217.0,147.0
Sableye,244.4,151.4,157.1,150.0,150.0,119.2
Greninja,246.0,179.6,153.0,240.4,160.0,241.0
Slurpuff,280.0,187.0,197.0,195.0,178.0,173.0
Bisharp,241.0,252.0,211.0,146.0,181.9,162.0
Bewear,339.0,286.7,183.0,141.0,149.0,177.1
Delcatty,266.0,165.0,165.0,147.0,147.0,209.0
Kingler,240.0,279.0,253.0,138.0,138.0,182.0
Wailord,442.0,163.0,129.0,312.0,129.0,172.5
Manectric,284.6,146.7,166.7,256.0,167.3,275.7
Medicham,214.9,374.7,191.8,163.9,191.8,201.3
Nihilego,313.0,91.0,124.0,283.4,283.4,278.1
Chansey,531.0,13.0,81.0,102.0,321.0,126.0
Sceptile,284.2,172.9,143.0,259.2,174.1,227.9
Noivern,279.0,139.9,183.0,243.2,183.0,255.0
Bruxish,257.0,255.6,170.0,170.0,170.0,230.1
